Feb 15 10:00:00 dnsmasq[416]: config 10.1.1.92 is NXDOMAIN
Feb 15 10:00:06 dnsmasq[416]: query[A] app-measurement.com from 10.1.1.92
Feb 15 10:00:15 dnsmasq[416]: query[A] clients3.google.com from 10.1.1.92
Feb 15 10:00:19 dnsmasq[416]: query[A] mail.google.com from 10.1.1.92
Feb 15 10:00:32 dnsmasq[416]: query[A] inbox.google.com from 10.1.1.92
Feb 15 10:00:41 dnsmasq[416]: query[A] tnc16-platform-alisg.tiktokv.com from 10.1.1.92
Feb 15 10:01:07 dnsmasq[416]: query[A] clients3.google.com from 10.1.1.92
Feb 15 10:04:40 dnsmasq[416]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:04:41 dnsmasq[416]: query[A] tnc16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:04:41 dnsmasq[416]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:04:44 dnsmasq[416]: query[A] ssl.google-analytics.com from 10.1.1.92
Feb 15 10:05:10 dnsmasq[416]: query[A] tnc16-platform-useast1a.tiktokv.com from 10.1.1.92
Feb 15 10:05:25 dnsmasq[416]: query[A] tnc16-platform-alisg.tiktokv.com from 10.1.1.92
Feb 15 10:05:27 dnsmasq[416]: query[A] www.google.com from 10.1.1.92
Feb 15 10:05:27 dnsmasq[416]: query[HTTPS] www.google.com from 10.1.1.92
Feb 15 10:05:27 dnsmasq[416]: query[A] clientservices.googleapis.com from 10.1.1.92
Feb 15 10:05:27 dnsmasq[416]: query[HTTPS] clientservices.googleapis.com from 10.1.1.92
Feb 15 10:05:28 dnsmasq[416]: query[A] memex-pa.googleapis.com from 10.1.1.92
Feb 15 10:05:28 dnsmasq[416]: query[HTTPS] memex-pa.googleapis.com from 10.1.1.92
Feb 15 10:05:28 dnsmasq[416]: query[A] history.google.com from 10.1.1.92
Feb 15 10:05:28 dnsmasq[416]: query[HTTPS] history.google.com from 10.1.1.92
Feb 15 10:05:28 dnsmasq[416]: query[A] optimizationguide-pa.googleapis.com from 10.1.1.92
Feb 15 10:05:28 dnsmasq[416]: query[HTTPS] optimizationguide-pa.googleapis.com from 10.1.1.92
Feb 15 10:05:30 dnsmasq[416]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:05:32 dnsmasq[416]: query[A] update.googleapis.com from 10.1.1.92
Feb 15 10:05:38 dnsmasq[416]: query[A] www.google.com from 10.1.1.92
Feb 15 10:05:38 dnsmasq[416]: query[HTTPS] www.google.com from 10.1.1.92
Feb 15 10:05:38 dnsmasq[416]: query[A] safebrowsing.googleapis.com from 10.1.1.92
Feb 15 10:05:39 dnsmasq[416]: query[A] clients4.google.com from 10.1.1.92
Feb 15 10:05:39 dnsmasq[416]: query[HTTPS] clients4.google.com from 10.1.1.92
Feb 15 10:05:39 dnsmasq[416]: query[A] content-autofill.googleapis.com from 10.1.1.92
Feb 15 10:05:39 dnsmasq[416]: query[HTTPS] content-autofill.googleapis.com from 10.1.1.92
Feb 15 10:05:39 dnsmasq[416]: query[A] www.gstatic.com from 10.1.1.92
Feb 15 10:05:39 dnsmasq[416]: query[HTTPS] www.gstatic.com from 10.1.1.92
Feb 15 10:05:39 dnsmasq[416]: query[A] play.google.com from 10.1.1.92
Feb 15 10:05:39 dnsmasq[416]: query[HTTPS] play.google.com from 10.1.1.92
Feb 15 10:05:40 dnsmasq[416]: query[A] cdn.ampproject.org from 10.1.1.92
Feb 15 10:05:40 dnsmasq[416]: query[HTTPS] cdn.ampproject.org from 10.1.1.92
Feb 15 10:05:40 dnsmasq[416]: query[A] tnc16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:05:41 dnsmasq[416]: query[A] adservice.google.com from 10.1.1.92
Feb 15 10:05:41 dnsmasq[416]: query[HTTPS] adservice.google.com from 10.1.1.92
Feb 15 10:05:44 dnsmasq[416]: query[A] www.bellesa.co from 10.1.1.92
