Mar 11 08:00:00 dnsmasq[33486]: config 10.1.1.92 is NXDOMAIN
Mar 11 08:00:09 dnsmasq[33486]: query[AAAA] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:00:09 dnsmasq[33486]: query[A] api16-core-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:00:09 dnsmasq[33486]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:00:09 dnsmasq[33486]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:00:50 dnsmasq[33486]: query[AAAA] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:00:50 dnsmasq[33486]: query[A] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:01:33 dnsmasq[33486]: query[AAAA] userlocation.googleapis.com from 10.1.1.92
Mar 11 08:01:33 dnsmasq[33486]: query[A] userlocation.googleapis.com from 10.1.1.92
Mar 11 08:01:37 dnsmasq[33486]: query[AAAA] device-api.urbanairship.com from 10.1.1.92
Mar 11 08:01:37 dnsmasq[33486]: query[A] device-api.urbanairship.com from 10.1.1.92
Mar 11 08:02:09 dnsmasq[33486]: query[AAAA] api16-core-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:02:09 dnsmasq[33486]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:02:09 dnsmasq[33486]: query[AAAA] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:02:09 dnsmasq[33486]: query[A] api16-core-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:02:09 dnsmasq[33486]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:02:12 dnsmasq[33486]: query[AAAA] cdn-settings.segment.com from 10.1.1.92
Mar 11 08:02:12 dnsmasq[33486]: query[A] cdn-settings.segment.com from 10.1.1.92
Mar 11 08:02:12 dnsmasq[33486]: query[AAAA] 0.datadog.pool.ntp.org from 10.1.1.92
Mar 11 08:02:12 dnsmasq[33486]: query[A] 0.datadog.pool.ntp.org from 10.1.1.92
Mar 11 08:02:13 dnsmasq[33486]: query[AAAA] api.iterable.com from 10.1.1.92
Mar 11 08:02:13 dnsmasq[33486]: query[A] api.iterable.com from 10.1.1.92
Mar 11 08:02:13 dnsmasq[33486]: query[AAAA] firebaseremoteconfig.googleapis.com from 10.1.1.92
Mar 11 08:02:13 dnsmasq[33486]: query[AAAA] firebaseremoteconfig.googleapis.com from 10.1.1.92
Mar 11 08:02:13 dnsmasq[33486]: query[A] firebaseremoteconfig.googleapis.com from 10.1.1.92
Mar 11 08:02:13 dnsmasq[33486]: query[A] firebaseremoteconfig.googleapis.com from 10.1.1.92
Mar 11 08:02:50 dnsmasq[33486]: query[AAAA] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:02:50 dnsmasq[33486]: query[A] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:03:08 dnsmasq[33486]: query[AAAA] i.instagram.com from 10.1.1.92
Mar 11 08:03:09 dnsmasq[33486]: query[A] i.instagram.com from 10.1.1.92
Mar 11 08:04:10 dnsmasq[33486]: query[A] api16-core-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:04:10 dnsmasq[33486]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:04:10 dnsmasq[33486]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:04:10 dnsmasq[33486]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:04:50 dnsmasq[33486]: query[AAAA] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:04:50 dnsmasq[33486]: query[A] ssl.google-analytics.com from 10.1.1.92
Mar 11 08:06:10 dnsmasq[33486]: query[A] api16-core-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:06:10 dnsmasq[33486]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
Mar 11 08:06:21 dnsmasq[33486]: query[AAAA] graph.facebook.com from 10.1.1.92
Mar 11 08:06:21 dnsmasq[33486]: query[AAAA] graph.facebook.com from 10.1.1.92
Mar 11 08:06:21 dnsmasq[33486]: query[A] graph.facebook.com from 10.1.1.92
Mar 11 08:06:21 dnsmasq[33486]: query[A] graph.facebook.com from 10.1.1.92
Mar 11 08:06:21 dnsmasq[33486]: query[AAAA] device-metrics-us-2.amazon.com from 10.1.1.92
Mar 11 08:06:21 dnsmasq[33486]: query[A] device-metrics-us-2.amazon.com from 10.1.1.92
