May 14 09:00:00 dnsmasq[208]: config 10.1.1.92 is NXDOMAIN
May 14 09:00:22 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:00:22 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:00:34 dnsmasq[208]: query[AAAA] optimizationguide-pa.googleapis.com from 10.1.1.92
May 14 09:00:34 dnsmasq[208]: query[A] optimizationguide-pa.googleapis.com from 10.1.1.92
May 14 09:00:50 dnsmasq[208]: query[A] api22-core.tiktokv.com from 10.1.1.92
May 14 09:00:50 dnsmasq[208]: query[A] api16-core.tiktokv.com from 10.1.1.92
May 14 09:00:55 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:00:55 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:01:02 dnsmasq[208]: query[A] tnc16-platform-alisg.tiktokv.com from 10.1.1.92
May 14 09:01:21 dnsmasq[208]: query[AAAA] api16-core-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:01:22 dnsmasq[208]: query[A] api16-core-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:01:26 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:01:26 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:01:33 dnsmasq[208]: query[A] mssdk16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:01:55 dnsmasq[208]: query[A] api16-core.tiktokv.com from 10.1.1.92
May 14 09:01:55 dnsmasq[208]: query[A] api22-core.tiktokv.com from 10.1.1.92
May 14 09:01:58 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:01:58 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:02:18 dnsmasq[208]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:02:18 dnsmasq[208]: query[A] mon16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:02:19 dnsmasq[208]: query[A] frontier.us.tiktokv.com from 10.1.1.92
May 14 09:02:22 dnsmasq[208]: query[AAAA] cdn.fbsbx.com from 10.1.1.92
May 14 09:02:22 dnsmasq[208]: query[A] cdn.fbsbx.com from 10.1.1.92
May 14 09:02:23 dnsmasq[208]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:02:28 dnsmasq[208]: query[AAAA] libra16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:02:29 dnsmasq[208]: query[A] libra16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:02:31 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:02:31 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:02:49 dnsmasq[208]: query[AAAA] libra-va.tiktokv.com from 10.1.1.92
May 14 09:02:49 dnsmasq[208]: query[A] libra-va.tiktokv.com from 10.1.1.92
May 14 09:02:58 dnsmasq[208]: query[AAAA] bsync.us.tiktokv.com from 10.1.1.92
May 14 09:02:58 dnsmasq[208]: query[A] bsync.us.tiktokv.com from 10.1.1.92
May 14 09:02:59 dnsmasq[208]: query[A] api16-core.tiktokv.com from 10.1.1.92
May 14 09:02:59 dnsmasq[208]: query[A] api22-core.tiktokv.com from 10.1.1.92
May 14 09:03:01 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:03:01 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:03:13 dnsmasq[208]: query[A] gecko16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:03:28 dnsmasq[208]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:03:34 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:03:34 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:03:53 dnsmasq[208]: query[AAAA] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:03:53 dnsmasq[208]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:04:04 dnsmasq[208]: query[AAAA] api22-core.tiktokv.com from 10.1.1.92
May 14 09:04:04 dnsmasq[208]: query[A] api16-core.tiktokv.com from 10.1.1.92
