Jun 28 19:00:00 dnsmasq[210]: config 10.1.1.92 is NXDOMAIN
Jun 28 19:02:54 dnsmasq[210]: query[AAAA] hellohibar.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[A] hellohibar.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[HTTPS] hellohibar.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[AAAA] optimizationguide-pa.googleapis.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[A] optimizationguide-pa.googleapis.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[HTTPS] optimizationguide-pa.googleapis.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[AAAA] cdn.shopify.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[A] cdn.shopify.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[HTTPS] cdn.shopify.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[AAAA] fonts.shopifycdn.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[A] fonts.shopifycdn.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[HTTPS] fonts.shopifycdn.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[AAAA] media.sezzle.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[A] media.sezzle.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[HTTPS] media.sezzle.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[AAAA] static.awtomic.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[A] static.awtomic.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[HTTPS] static.awtomic.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[AAAA] fonts.googleapis.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[A] fonts.googleapis.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[HTTPS] fonts.googleapis.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[AAAA] fonts.cdnfonts.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[A] fonts.cdnfonts.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[HTTPS] fonts.cdnfonts.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[AAAA] cdn.skio.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[A] cdn.skio.com from 10.1.1.92
Jun 28 19:02:54 dnsmasq[210]: query[HTTPS] cdn.skio.com from 10.1.1.92
